Date,Open,High,Low,Close,Volume,Adj Close
2010-03-03,0.66,0.10,0.10,0.10,842816500,0.10
2010-03-02,0.10,0.10,0.10,0.10,000,0.10
2010-03-01,0.10,0.10,0.10,0.10,000,0.10
2010-02-26,0.10,0.10,0.10,0.10,000,0.10
2010-02-25,0.10,0.10,0.10,0.10,000,0.10
2010-02-24,0.10,0.10,0.10,0.10,000,0.10
2010-02-23,0.10,0.10,0.10,0.10,000,0.10
2010-02-22,0.10,0.10,0.10,0.10,000,0.10
2010-02-12,0.10,0.10,0.10,0.10,000,0.10
2010-02-11,0.10,0.10,0.10,0.10,000,0.10
2010-02-10,0.10,0.10,0.10,0.10,000,0.10
2010-02-09,0.10,0.10,0.10,0.10,000,0.10
2010-02-08,0.10,0.10,0.10,0.10,000,0.10
2010-02-05,0.66,0.78,0.10,0.10,842816500,0.10
2010-02-04,0.94,1.07,0.69,0.70,1006881200,0.70
2010-02-03,1.53,1.54,0.95,0.96,677502900,0.96
2010-02-02,2.07,2.09,1.51,1.53,634499700,1.53
2010-02-01,2.15,2.38,1.97,2.02,759900100,2.02
2010-01-29,2.29,2.62,2.02,2.13,937042800,2.13
2010-01-28,2.63,2.88,2.03,2.30,633047800,2.30
2010-01-27,3.70,3.73,2.58,2.64,494641200,2.64
2010-01-26,4.62,4.66,3.65,3.70,394507900,3.70
2010-01-25,4.97,5.04,4.55,4.62,311515300,4.62
2010-01-22,4.99,5.20,4.52,4.95,457822000,4.95
2010-01-21,4.86,5.16,4.52,4.96,421358900,4.96
2010-01-20,4.64,5.11,4.54,4.71,522559700,4.71
2010-01-19,5.09,5.22,4.50,4.58,362290700,4.58
2010-01-18,4.38,5.15,4.35,5.09,569718600,5.09
2010-01-15,4.64,4.81,4.30,4.41,350547900,4.41
2010-01-14,5.55,5.68,4.51,4.70,258726500,4.70
2010-01-13,5.11,5.80,5.01,5.52,577189500,5.52
2010-01-12,4.72,5.28,4.57,5.26,236438500,5.26
2010-01-11,5.09,5.10,4.54,4.70,206195700,4.70
2010-01-08,5.00,5.22,4.47,4.82,281180100,4.82
2010-01-07,5.30,5.33,4.67,4.98,215652500,4.98
2010-01-06,6.08,6.08,5.16,5.29,128234000,5.29
2010-01-05,6.51,6.62,5.97,6.09,80085500,6.09
2010-01-04,6.66,6.85,6.49,6.50,72444000,6.50
2009-12-31,6.63,6.80,6.58,6.66,78218900,6.66
2009-12-30,6.89,6.91,6.47,6.64,61305400,6.64
2009-12-29,7.00,7.05,6.88,6.89,67537700,6.89
2009-12-28,7.27,7.36,6.98,7.03,83517800,7.03
2009-12-25,6.97,7.49,6.93,7.22,242343400,7.22
2009-12-24,6.57,6.98,6.56,6.94,192034300,6.94
2009-12-23,6.45,6.67,6.35,6.56,158960500,6.56
2009-12-22,6.56,6.80,6.30,6.38,128311400,6.38
2009-12-21,6.66,6.76,6.45,6.53,45684100,6.53
2009-12-18,6.86,7.18,6.60,6.67,120006600,6.67
2009-12-17,7.00,7.05,6.64,6.90,90933800,6.90
2009-12-16,7.35,7.49,6.92,7.00,89059600,7.00
2009-12-15,6.89,7.29,6.80,7.14,108048200,7.14
2009-12-14,7.10,7.12,6.59,6.90,50842000,6.90
2009-12-11,7.22,7.28,7.07,7.09,20540900,7.09
2009-12-10,7.25,7.34,7.18,7.20,37392300,7.20
2009-12-09,7.25,7.48,7.19,7.26,32884400,7.26
2009-12-08,7.43,7.43,7.19,7.29,25330400,7.29
2009-12-07,7.35,7.61,7.35,7.40,42547200,7.40
2009-12-04,7.55,7.67,7.25,7.37,60203500,7.37
2009-12-02,7.62,7.63,7.45,7.51,34214900,7.51
2009-12-01,7.48,7.75,7.44,7.60,113363100,7.60
2009-11-30,7.31,7.46,7.30,7.41,42731300,7.41
