Date,Open,High,Low,Close,Volume,Adj Close
2013-10-22,0.98,0.98,0.98,0.98,92400,0.98
2013-10-21,0.99,0.99,0.99,0.99,268600,0.99
2013-10-18,0.98,0.98,0.97,0.98,1383700,0.98
2013-10-17,0.98,0.98,0.97,0.97,884200,0.97
2013-10-16,0.98,0.98,0.97,0.97,3134400,0.97
2013-10-15,0.99,0.99,0.98,0.99,135600,0.99
2013-10-14,0.97,0.98,0.97,0.98,64400,0.98
2013-10-11,0.96,1.00,0.96,0.98,153900,0.98
2013-10-10,0.97,0.97,0.96,0.96,103200,0.96
2013-10-09,0.96,0.97,0.96,0.97,204600,0.97
2013-10-08,0.96,0.97,0.96,0.97,2018500,0.97
2013-09-30,0.97,0.97,0.95,0.96,76600,0.96
2013-09-27,0.97,0.97,0.96,0.97,1694800,0.97
2013-09-26,0.97,0.98,0.97,0.98,953300,0.98
2013-09-25,0.98,0.99,0.98,0.98,683400,0.98
2013-09-24,0.98,0.98,0.97,0.98,1093500,0.98
2013-09-23,1.00,1.00,0.99,0.99,218500,0.99
2013-09-18,0.98,0.99,0.98,0.99,479900,0.99
2013-09-17,0.99,0.99,0.98,0.98,563200,0.98
2013-09-16,0.99,0.99,0.99,0.99,1198100,0.99
2013-09-13,0.98,0.98,0.97,0.97,1109200,0.97
2013-09-12,0.96,1.00,0.96,0.99,3652700,0.99
2013-09-11,0.99,1.00,0.98,0.98,1982400,0.98
2013-09-10,0.98,0.99,0.98,0.99,378200,0.99
2013-09-09,0.97,0.98,0.97,0.98,657500,0.98
2013-09-06,0.96,0.96,0.96,0.96,34500,0.96
2013-09-05,0.95,0.96,0.95,0.96,1798600,0.96
2013-09-04,0.94,0.95,0.94,0.95,2079500,0.95
2013-09-03,0.93,0.95,0.93,0.95,881300,0.95
2013-09-02,0.92,0.93,0.92,0.93,777400,0.93
2013-08-30,0.90,0.91,0.90,0.91,44100,0.91
2013-08-29,0.91,0.91,0.91,0.91,146600,0.91
2013-08-28,0.91,0.91,0.90,0.90,771600,0.90
2013-08-27,0.93,0.93,0.92,0.92,103700,0.92
2013-08-26,0.93,0.94,0.93,0.93,69100,0.93
2013-08-23,0.91,0.93,0.91,0.92,232300,0.92
2013-08-22,0.90,0.92,0.90,0.91,1027800,0.91
2013-08-21,0.92,0.92,0.90,0.91,333200,0.91
2013-08-20,0.94,0.94,0.92,0.92,170300,0.92
2013-08-19,0.94,0.95,0.94,0.95,381200,0.95
2013-08-16,0.93,0.95,0.93,0.94,2260400,0.94
2013-08-15,0.94,0.95,0.94,0.94,683900,0.94
2013-08-14,0.93,0.95,0.90,0.94,283700,0.94
2013-08-13,0.92,0.94,0.92,0.94,585800,0.94
2013-08-12,0.89,0.92,0.89,0.92,741100,0.92
2013-08-09,0.88,0.89,0.88,0.89,326300,0.89
2013-08-08,0.88,0.88,0.88,0.88,1556100,0.88
2013-08-07,0.89,0.89,0.88,0.88,929800,0.88
2013-08-06,0.89,0.90,0.88,0.90,218800,0.90
2013-08-05,0.90,0.91,0.90,0.90,1033200,0.90
2013-08-02,0.91,0.91,0.90,0.90,99000,0.90
2013-08-01,0.90,0.91,0.90,0.90,2255200,0.90
2013-07-31,0.90,0.90,0.90,0.90,110600,0.90
2013-07-30,0.90,0.90,0.89,0.89,162000,0.89
2013-07-29,0.89,0.89,0.89,0.89,574300,0.89
2013-07-26,0.90,0.91,0.90,0.90,662500,0.90
2013-07-25,0.91,0.91,0.90,0.90,1437900,0.90
2013-07-24,0.90,0.90,0.89,0.90,1300600,0.90
2013-07-23,0.89,0.90,0.89,0.90,731600,0.90
2013-07-22,0.88,0.88,0.88,0.88,469700,0.88
2013-07-19,0.87,0.88,0.87,0.88,547300,0.88
2013-07-18,0.88,0.88,0.87,0.88,1629500,0.88
