Date,Open,High,Low,Close,Volume,Adj Close
2013-10-22,0.94,0.95,0.94,0.94,7588400,0.94
2013-10-21,0.94,0.95,0.94,0.94,5947700,0.94
2013-10-18,1.02,1.02,1.02,1.02,000,1.02
2013-10-17,0.93,0.94,0.93,0.93,5223000,0.93
2013-10-16,0.95,0.95,0.93,0.93,23649600,0.93
2013-10-15,0.95,0.95,0.95,0.95,1850800,0.95
2013-10-14,0.95,0.95,0.95,0.95,8183600,0.95
2013-10-11,0.94,0.96,0.94,0.95,8259700,0.95
2013-10-10,0.94,0.95,0.94,0.94,4373500,0.94
2013-10-09,0.94,0.95,0.94,0.95,8800000,0.95
2013-10-08,0.93,0.94,0.93,0.94,7198500,0.94
2013-09-30,0.92,0.93,0.92,0.93,6209400,0.93
2013-09-27,1.00,1.00,1.00,1.00,000,1.00
2013-09-26,0.93,0.93,0.91,0.92,12460100,0.92
2013-09-25,0.92,0.93,0.92,0.93,4595200,0.93
2013-09-24,0.93,0.93,0.92,0.93,6442700,0.93
2013-09-23,0.92,0.93,0.92,0.93,7560200,0.93
2013-09-18,1.00,1.00,1.00,1.00,000,1.00
2013-09-17,0.93,0.94,0.91,0.93,24865000,0.93
2013-09-16,0.94,0.94,0.93,0.93,12565400,0.93
2013-09-13,0.94,0.94,0.94,0.94,2928800,0.94
2013-09-12,0.94,0.95,0.94,0.94,13033700,0.94
2013-09-11,0.94,0.95,0.94,0.94,11772200,0.94
2013-09-10,0.93,0.94,0.93,0.94,17322800,0.94
2013-09-09,0.91,0.94,0.91,0.93,13721500,0.93
2013-09-06,0.99,0.99,0.99,0.99,000,0.99
2013-09-05,0.91,0.91,0.90,0.91,3939500,0.91
2013-09-04,0.91,0.91,0.91,0.91,3805100,0.91
2013-09-03,0.90,0.91,0.90,0.91,4305000,0.91
2013-09-02,0.90,0.91,0.90,0.90,2464900,0.90
2013-08-30,0.90,0.91,0.90,0.90,7110900,0.90
2013-08-29,0.90,0.90,0.90,0.90,10077700,0.90
2013-08-28,0.89,0.90,0.89,0.90,8840400,0.90
2013-08-27,0.89,0.90,0.89,0.90,5587400,0.90
2013-08-26,0.88,0.90,0.88,0.89,10740600,0.89
2013-08-23,0.97,0.97,0.97,0.97,000,0.97
2013-08-22,0.89,0.89,0.88,0.88,5145500,0.88
2013-08-21,0.89,0.89,0.88,0.89,7029100,0.89
2013-08-20,0.89,0.89,0.88,0.89,15413000,0.89
2013-08-19,0.87,0.89,0.87,0.89,14833700,0.89
2013-08-16,0.88,0.91,0.87,0.88,22138300,0.88
2013-08-15,0.89,0.89,0.88,0.89,10090400,0.89
2013-08-14,0.89,0.90,0.89,0.89,7337800,0.89
2013-08-13,0.89,0.89,0.89,0.89,7678800,0.89
2013-08-12,0.88,0.89,0.88,0.89,14317100,0.89
2013-08-09,0.97,0.97,0.97,0.97,000,0.97
2013-08-08,0.87,0.88,0.87,0.88,3681100,0.88
2013-08-07,0.88,0.89,0.88,0.88,2849100,0.88
2013-08-06,0.88,0.89,0.87,0.88,5871400,0.88
2013-08-05,0.87,0.88,0.86,0.88,7242300,0.88
2013-08-02,0.96,0.96,0.96,0.96,000,0.96
2013-08-01,0.86,0.87,0.85,0.87,5155200,0.87
2013-07-31,0.86,0.87,0.85,0.85,4178800,0.85
2013-07-30,0.85,0.87,0.85,0.85,4966300,0.85
2013-07-29,0.85,0.85,0.84,0.85,2569300,0.85
2013-07-26,0.95,0.95,0.95,0.95,000,0.95
2013-07-24,0.87,0.87,0.85,0.87,9289000,0.87
2013-07-23,0.86,0.87,0.86,0.87,7166600,0.87
2013-07-22,0.84,0.86,0.83,0.85,4719800,0.85
2013-07-19,0.85,0.86,0.84,0.84,3770400,0.84
2013-07-18,0.86,0.86,0.85,0.85,1924900,0.85
2013-07-17,0.87,0.87,0.86,0.86,2914700,0.86
2013-07-16,0.87,0.88,0.86,0.87,7092700,0.87
2013-07-15,0.86,0.88,0.86,0.87,20007500,0.87
2013-07-12,0.95,0.95,0.95,0.95,000,0.95
2013-07-11,0.84,0.87,0.83,0.87,6764400,0.87
2013-07-10,0.83,0.84,0.83,0.84,3479400,0.84
2013-07-09,0.83,0.83,0.82,0.83,2565400,0.83
2013-07-08,0.83,0.84,0.82,0.83,4755600,0.83
2013-07-05,0.93,0.93,0.93,0.93,000,0.93
2013-07-04,0.83,0.84,0.83,0.84,6988300,0.84
2013-07-03,0.84,0.84,0.82,0.83,5670900,0.83
2013-07-02,0.83,0.84,0.83,0.84,5070700,0.84
2013-07-01,0.83,0.83,0.82,0.83,7990600,0.83
2013-06-28,0.91,0.91,0.91,0.91,000,0.91
2013-06-26,0.83,0.83,0.82,0.83,4949300,0.83
2013-06-25,0.83,0.83,0.79,0.83,6207000,0.83
2013-06-24,0.86,0.87,0.83,0.83,8698400,0.83
2013-06-21,0.86,0.88,0.85,0.87,4972000,0.87
2013-06-20,0.88,0.88,0.86,0.86,4580600,0.86
2013-06-19,0.88,0.88,0.87,0.88,4414300,0.88
2013-06-18,0.88,0.89,0.88,0.88,8306000,0.88
2013-06-17,0.88,0.88,0.87,0.88,4463000,0.88
2013-06-14,0.87,0.88,0.87,0.88,3635900,0.88
2013-06-13,0.88,0.88,0.86,0.87,6655600,0.87
2013-06-07,0.97,0.97,0.97,0.97,000,0.97
2013-06-06,0.91,0.91,0.90,0.90,3114200,0.90
2013-06-05,0.91,0.92,0.91,0.91,4195100,0.91
2013-06-04,0.92,0.92,0.91,0.91,6010000,0.91
2013-06-03,0.92,0.93,0.92,0.92,9431100,0.92
2013-05-31,1.01,1.01,1.01,1.01,000,1.01
2013-05-30,0.92,0.92,0.92,0.92,7156900,0.92
